1.00619	536
1.0133	1072
1.02128	1608
1.02925	2144
1.03628	2680
1.03817	3216
1.04426	3752
1.04614	4288
1.04803	4824
1.05223	5360
1.05412	5896
1.05601	6432
1.05789	6968
1.05978	7504
1.06092	8040
1.06397	8576
1.06563	9112
1.07197	9648
1.07999	1072
1.09405	1340
1.10202	1554
1.11	1738
1.11797	1903
1.125	2053
1.13203	2192
1.13906	2323
1.14095	2446
1.14704	2563
1.14892	2675
1.15501	2782
1.1569	2885
1.16299	2984
1.16487	3080
1.17002	3173
1.1719	3263
1.17705	3351
1.17893	3436
1.18082	3519
1.18502	3600
1.18691	3679
1.1888	3757
1.193	3833
1.19488	3907
1.19677	3980
1.20003	4052
1.20191	4122
1.20378	4191
1.20797	4259
1.21599	1072
1.23005	1340
1.25212	1072
1.26618	1340
1.27416	1554
1.28213	1738
1.29011	1903
1.29714	2053
1.30417	2192
1.3112	2323
1.31308	2446
1.31917	2563
1.32106	2675
1.32715	2782
1.32903	2885
1.33512	2984
1.33701	3080
1.34215	3173
1.34404	3263
1.34918	3351
1.35107	3436
1.35296	3519
1.35716	3600
1.35904	3679
1.36093	3757
1.36513	3833
1.36702	3907
1.36891	3980
1.37216	4052
1.37405	4122
1.37594	4191
1.37919	4259
1.38108	4326
1.38297	4392
1.38622	4457
1.38811	4521
1.39	4584
1.39188	4646
1.3942	4707
1.39608	4768
1.39797	4828
1.39908	4887
1.40123	4945
1.40703	5003
1.40892	5060
1.41503	5116
1.41692	5172
1.42303	5227
1.42492	5281
1.43103	5335
1.43292	5388
1.43903	5441
1.44092	5493
1.44703	5545
1.44892	5596
1.45503	5647
1.45692	5697
1.46303	5747
1.46492	5796
1.47103	5845
1.47292	5894
1.47903	5942
1.48092	5990
1.48703	6037
1.48892	6084
1.49503	6131
1.49692	6177
1.50303	6223
1.50492	6269
1.51103	6314
1.51292	6359
1.51903	6404
1.52092	6448
1.52703	6492
1.52892	6536
1.53503	6579
1.53692	6622
1.54303	6665
1.54492	6708
1.55103	6750
1.55292	6792
1.55903	6834
1.56092	6876
1.56703	6917
1.56892	6958
1.57503	6999
1.57692	7040
1.58303	7080
1.58492	7120
1.59103	7160
1.59292	7200
1.59903	7239
1.60092	7278
1.60703	7317
1.60892	7356
1.61503	7395
1.61692	7433
1.62303	7471
1.62492	7509
1.63103	7547
1.63292	7585
1.63903	7622
1.64092	7659
1.64703	7696
1.64892	7733
1.65503	7770
1.65692	7806
1.66303	7842
1.66492	7878
1.67103	7914
1.67292	7950
1.67903	7986
1.68092	8021
1.68703	8056
1.68892	8091
1.69503	8126
1.69692	8161
1.70303	8196
1.70492	8231
1.71103	8265
1.71292	8299
1.71903	8333
1.72092	8367
1.72703	8401
1.72892	8435
1.73503	8469
1.73692	8502
